student_id,student_name,gender,grade_name,branch,arts_score,english_score,math_score,phys_ed_score,science_score,average_marks,gpa,attendance,exam_status
STU0022,Hudson,Female,Grade 1,English,49.17,51.62,75.89,55.61,69.7,60.4,3,78.17,Pass
STU0023,Damon,Male,Grade 3,English,69.73,100.0,70.28,74.63,78.26,78.58,4,89.21,Fail
STU0024,Mia,Female,Grade 4,Math's,96.72,39.86,72.35,41.65,55.45,61.21,3,92.71,Pass
STU0025,Jack,Female,Grade 5,Phys.Ed,61.29,73.26,52.95,66.26,89.62,68.68,3,78.09,Pass
STU0026,Noah,Male,Grade 5,English,77.72,57.2,52.0,40.97,50.65,55.71,3,97.29,Pass
STU0027,Jack,Male,Grade 2,Arts,43.09,78.85,98.2,73.39,38.69,66.44,3,80.13,Pass
STU0028,Zen,Female,Grade 1,Phys.Ed,68.66,76.84,43.32,60.29,11.14,52.05,2,75.8,Pass
STU0029,Zen,Male,Grade 1,Science,57.13,73.34,100.0,62.01,78.56,74.21,4,96.36,Fail
STU0030,Shawn,Male,Grade 5,Math's,71.12,80.46,41.38,63.45,70.7,65.42,3,87.74,Pass
STU0031,Jack,Male,Grade 4,Math's,66.21,57.28,56.25,55.08,53.57,57.68,3,90.8,Pass
STU0032,Ethan,Male,Grade 5,Phys.Ed,68.73,64.9,20.1,77.67,92.93,64.87,3,97.5,Pass
STU0033,Michal,Female,Grade 2,Science,73.47,50.44,44.47,70.49,73.13,62.4,3,65.97,Pass
STU0034,Sophia,Male,Grade 1,Phys.Ed,57.93,57.42,94.42,73.78,34.33,63.58,3,80.43,Pass
STU0035,Michal,Male,Grade 5,Arts,89.2,71.66,61.62,61.99,58.87,68.67,3,93.47,Pass
STU0036,Cal,Female,Grade 5,English,79.32,59.32,48.04,77.32,30.41,58.88,3,96.56,Fail
STU0037,Mack,Female,Grade 3,Science,83.66,39.19,75.34,70.22,71.88,68.06,3,89.87,Pass
STU0038,Liam,Male,Grade 5,Science,63.04,79.77,68.53,61.65,99.41,74.48,4,87.25,Pass
STU0039,Jack,Male,Grade 5,Math's,60.34,79.67,33.85,70.41,60.48,60.95,3,73.16,Pass
STU0040,Ethan,Female,Grade 1,Arts,57.15,42.76,91.1,43.09,52.66,57.35,3,80.77,Pass
STU0041,Robert,Female,Grade 3,Science,42.2,91.64,81.23,55.37,35.59,61.21,3,94.83,Not Attended
STU0042,Liam,Male,Grade 1,Arts,38.08,57.61,60.09,61.56,55.8,54.63,2,88.98,Pass
STU0043,Ava,Male,Grade 5,Science,67.0,62.39,0.0,57.78,54.71,48.38,2,91.14,Pass
STU0044,Olivia,Male,Grade 1,Math's,46.69,62.23,86.8,71.53,56.06,64.67,3,81.26,Pass
STU0045,Robert,Female,Grade 4,Math's,65.77,59.65,23.47,84.54,58.79,58.44,3,88.28,Pass
STU0046,Liam,Male,Grade 5,English,61.78,77.15,54.94,41.02,62.9,59.56,3,87.22,Pass
STU0047,Emma,Male,Grade 2,Math's,29.38,94.45,28.25,79.0,48.47,55.91,3,88.49,Pass
STU0048,Tyler,Female,Grade 3,Science,63.14,70.94,71.09,54.66,42.52,60.47,3,73.59,Pass
STU0049,Robert,Male,Grade 4,Phys.Ed,53.7,49.23,95.37,61.42,51.8,62.3,3,85.71,Pass
STU0050,Noah,Male,Grade 1,Phys.Ed,71.21,76.61,50.45,54.09,58.6,62.19,3,65.58,Pass
STU0051,Ava,Female,Grade 5,English,70.65,70.36,100.0,74.43,60.95,75.28,4,76.36,Pass
STU0052,Mia,Female,Grade 2,Science,65.9,47.93,31.91,63.48,57.4,53.32,2,67.11,Pass
STU0053,Cal,Male,Grade 3,Phys.Ed,97.61,80.2,52.07,79.98,56.79,73.33,4,78.65,Pass
STU0054,Shawn,Male,Grade 3,Science,69.45,63.28,56.29,33.66,75.76,59.69,3,85.16,Pass
STU0055,Liam,Female,Grade 2,Math's,70.5,77.65,28.57,92.4,56.11,65.04,3,87.96,Not Attended
STU0056,Michal,Male,Grade 2,Phys.Ed,55.12,61.71,32.56,70.57,44.77,52.95,2,86.14,Pass
STU0057,Emma,Male,Grade 1,English,93.01,38.77,34.8,63.76,53.68,56.8,3,86.09,Pass
STU0058,Cal,Male,Grade 1,Math's,70.66,63.16,66.68,53.75,64.39,63.73,3,82.75,Pass
STU0059,Hudson,Male,Grade 5,Phys.Ed,57.22,61.53,69.78,73.42,27.67,57.93,3,86.89,Pass
STU0060,Ethan,Female,Grade 3,Math's,72.62,96.92,95.96,42.05,43.63,70.24,4,71.09,Pass
STU0061,Hudson,Female,Grade 4,Math's,33.99,55.29,76.49,74.08,90.29,66.03,3,83.74,Pass
STU0062,Robert,Male,Grade 2,Science,54.55,71.43,71.86,50.09,89.27,67.44,3,83.69,Pass
STU0063,Sophia,Male,Grade 3,Science,57.95,52.3,52.0,65.53,75.11,60.58,3,76.62,Pass
STU0064,Lucas,Male,Grade 4,English,50.39,48.57,27.98,78.95,73.47,55.87,3,83.56,Pass
STU0065,Sophia,Female,Grade 4,Arts,75.02,52.89,44.24,63.46,53.36,57.79,3,94.41,Pass
STU0066,Lucas,Male,Grade 1,Arts,60.65,76.94,100.0,67.29,53.59,71.69,4,82.93,Pass
STU0067,Mason,Male,Grade 1,Arts,58.85,52.73,32.0,27.58,65.58,47.35,2,90.2,Pass
STU0068,Lucas,Female,Grade 2,Phys.Ed,74.07,63.8,79.45,38.86,46.72,60.58,3,88.13,Not Attended
STU0069,Liam,Female,Grade 3,Phys.Ed,41.91,68.08,40.92,47.58,41.2,47.94,2,68.71,Pass
STU0070,Liam,Male,Grade 3,Math's,82.83,28.77,22.59,46.11,44.16,44.89,2,85.63,Pass
STU0071,Mack,Male,Grade 3,English,62.95,79.32,82.0,34.91,50.67,61.97,3,79.01,Pass
STU0072,Hudson,Female,Grade 2,Science,69.51,51.25,53.69,58.25,76.02,61.74,3,76.48,Pass
STU0073,Emma,Female,Grade 3,Science,57.86,51.19,49.14,57.91,84.81,60.18,3,90.16,Pass
STU0074,Noah,Male,Grade 5,Science,75.86,63.41,50.59,73.59,51.73,63.04,3,72.73,Pass
STU0075,Olivia,Female,Grade 4,Arts,35.7,58.37,77.49,60.63,57.63,57.96,3,94.77,Pass
STU0076,Ava,Male,Grade 4,Science,41.62,59.43,41.99,83.25,80.65,61.39,3,93.21,Pass
STU0077,Damon,Female,Grade 3,English,92.08,76.05,51.56,67.32,88.93,75.19,4,96.56,Pass
STU0078,Mack,Female,Grade 5,English,83.06,59.06,26.61,49.13,65.36,56.64,3,82.22,Pass
STU0079,Emma,Female,Grade 3,Phys.Ed,47.36,80.75,42.91,92.59,70.89,66.9,3,85.48,Pass
STU0080,Jack,Female,Grade 1,Phys.Ed,66.25,62.07,66.74,48.41,29.09,54.51,2,81.19,Pass
STU0081,Jack,Male,Grade 5,English,50.05,64.94,54.46,53.09,73.62,59.23,3,92.08,Pass
STU0082,Olivia,Female,Grade 5,Math's,74.25,74.66,83.15,73.75,55.74,72.31,4,89.06,Pass
STU0083,Mia,Male,Grade 5,Science,57.34,67.62,37.48,92.27,51.27,61.2,3,81.11,Pass
STU0084,Lucas,Female,Grade 1,Math's,61.41,75.54,60.51,61.36,78.01,67.37,3,79.87,Pass
STU0085,Tyler,Female,Grade 1,English,63.19,80.19,22.56,45.59,84.34,59.17,3,86.54,Pass
STU0086,Sophia,Female,Grade 4,Science,41.76,74.2,72.84,61.56,82.57,66.59,3,78.53,Pass
STU0087,Olivia,Male,Grade 4,Phys.Ed,36.77,41.38,44.29,70.52,58.19,50.23,2,77.56,Pass
STU0088,Michal,Female,Grade 2,Arts,68.9,62.5,42.84,57.7,72.01,60.79,3,71.74,Not Attended
STU0089,Ava,Female,Grade 3,Science,59.76,56.77,51.43,68.17,60.95,59.41,3,79.99,Pass
STU0090,Tyler,Female,Grade 3,Science,43.26,74.0,100.0,66.64,35.82,63.94,3,85.42,Pass
STU0091,Ethan,Female,Grade 5,Math's,53.72,74.86,63.65,42.81,87.76,64.56,3,98.37,Pass
STU0092,Cal,Female,Grade 2,Phys.Ed,52.93,65.57,69.12,58.59,48.5,58.94,3,91.8,Pass
STU0093,Robert,Female,Grade 5,English,70.27,66.54,60.78,73.37,65.42,67.28,3,90.9,Pass
STU0094,Hudson,Male,Grade 5,Arts,65.6,70.28,76.79,66.06,69.49,69.64,3,89.72,Pass
STU0095,Damon,Female,Grade 4,Phys.Ed,59.49,68.05,81.72,51.2,68.9,65.87,3,80.85,Pass
STU0096,Olivia,Male,Grade 2,Science,64.87,66.65,35.52,69.96,73.33,62.06,3,100.0,Pass
STU0097,Robert,Male,Grade 5,English,79.8,62.69,38.66,56.21,75.33,62.54,3,89.41,Pass
STU0098,Michal,Female,Grade 5,Arts,73.28,79.68,47.48,60.5,95.33,71.25,4,78.08,Pass
STU0099,Olivia,Male,Grade 1,Arts,60.03,37.51,73.18,73.96,35.78,56.09,3,80.75,Not Attended
STU0100,Liam,Male,Grade 3,Science,46.68,75.92,64.39,54.23,42.52,56.75,3,90.98,Fail
STU0101,Olivia,Female,Grade 3,Science,34.3,58.07,80.94,49.85,50.52,54.73,2,89.12,Pass
STU0102,Olivia,Female,Grade 5,Math's,67.14,72.39,70.26,66.37,73.28,69.89,3,94.63,Pass
STU0103,Tyler,Female,Grade 5,Arts,40.61,74.49,33.24,64.8,70.11,56.65,3,76.04,Pass
STU0104,Shawn,Female,Grade 3,Science,60.22,49.51,43.13,80.43,82.44,63.15,3,89.94,Fail
STU0105,Cal,Female,Grade 5,Math's,58.05,60.35,100.0,60.73,71.4,70.11,4,98.25,Pass
STU0106,Jack,Female,Grade 4,Arts,57.96,64.79,56.78,52.22,66.13,59.58,3,75.5,Pass
STU0107,Ethan,Male,Grade 2,Phys.Ed,66.13,54.82,92.62,65.3,69.29,69.63,3,89.45,Pass
STU0108,Mia,Male,Grade 3,Math's,63.72,79.3,56.44,76.81,69.42,69.14,3,100.0,Pass
STU0109,Emma,Female,Grade 1,Phys.Ed,46.53,58.59,71.14,74.55,100.0,70.16,4,83.23,Pass
STU0110,Zen,Female,Grade 4,Math's,45.08,73.9,50.96,63.54,80.46,62.79,3,83.11,Pass
STU0111,Mason,Male,Grade 3,Phys.Ed,62.43,88.12,77.14,96.35,56.45,76.1,4,84.61,Pass
STU0112,Michal,Female,Grade 4,Phys.Ed,37.51,57.98,74.41,63.15,71.53,60.91,3,73.97,Pass
STU0113,Mia,Male,Grade 1,Phys.Ed,66.86,61.92,30.29,60.39,60.49,55.99,3,92.5,Pass
STU0114,Mason,Female,Grade 1,Arts,67.61,64.78,74.53,46.05,80.72,66.74,3,78.34,Pass
STU0115,Sophia,Male,Grade 3,Math's,59.74,79.94,49.36,37.57,48.81,55.08,3,87.39,Pass
STU0116,Hudson,Male,Grade 5,Arts,56.77,61.11,54.21,85.92,69.11,65.42,3,87.44,Pass
STU0117,Mia,Female,Grade 2,Science,57.18,59.69,62.69,55.27,53.02,57.57,3,79.71,Pass
STU0118,Jack,Male,Grade 4,Phys.Ed,64.09,72.34,57.6,74.03,29.39,59.49,3,100.0,Pass
STU0119,Mason,Male,Grade 1,Science,51.01,73.08,70.8,51.28,55.67,60.37,3,79.25,Not Attended
STU0120,Mia,Female,Grade 5,English,60.46,65.62,72.03,54.8,68.97,64.38,3,88.06,Pass
STU0121,Ava,Female,Grade 5,Math's,74.59,91.42,42.18,55.72,37.18,60.22,3,91.45,Pass
STU0122,Noah,Male,Grade 5,Science,52.93,61.43,82.02,69.33,61.22,65.38,3,90.14,Fail
STU0123,Sophia,Male,Grade 2,Science,59.75,67.76,56.88,61.19,45.46,58.21,3,72.48,Pass
STU0124,Lucas,Female,Grade 4,Arts,52.42,47.48,89.56,73.12,51.99,62.91,3,100.0,Pass
STU0125,Hudson,Female,Grade 5,Phys.Ed,41.16,42.96,78.41,90.28,85.15,67.59,3,88.51,Pass
STU0126,Ethan,Female,Grade 5,Science,57.94,83.67,62.33,65.56,43.52,62.6,3,80.14,Pass
STU0127,Lucas,Female,Grade 2,Phys.Ed,48.94,52.22,77.48,53.59,32.41,52.93,2,87.17,Pass
STU0128,Ethan,Female,Grade 2,Phys.Ed,63.37,84.4,50.27,67.16,78.18,68.68,3,78.7,Pass
STU0129,Michal,Female,Grade 3,Arts,69.16,34.12,64.45,88.01,84.2,67.99,3,87.38,Pass
STU0130,Damon,Female,Grade 5,Arts,73.21,56.19,74.45,54.27,92.11,70.05,4,77.37,Pass
STU0131,Michal,Female,Grade 3,English,55.29,57.8,58.56,74.12,42.01,57.55,3,85.15,Pass
STU0132,Tyler,Female,Grade 2,Math's,53.64,46.82,58.41,91.96,50.14,60.19,3,97.11,Pass
STU0133,Mack,Male,Grade 5,Phys.Ed,67.85,82.86,72.26,57.72,51.02,66.34,3,90.94,Pass
STU0134,Michal,Male,Grade 3,Arts,52.26,48.86,60.61,51.76,66.74,56.05,3,71.55,Fail
STU0135,Ethan,Male,Grade 4,Science,41.64,63.35,57.42,54.66,31.78,49.77,2,78.97,Pass
STU0136,Michal,Male,Grade 2,Arts,57.1,49.34,82.48,57.4,62.68,61.8,3,87.07,Pass
STU0137,Lucas,Female,Grade 1,Phys.Ed,63.09,76.92,61.35,75.72,51.01,65.62,3,85.8,Pass
STU0138,Jack,Male,Grade 5,Phys.Ed,45.94,53.54,47.32,58.13,64.39,53.87,2,89.66,Pass
STU0139,Mason,Female,Grade 3,Phys.Ed,67.48,85.63,24.11,75.62,22.76,55.12,3,84.23,Pass
STU0140,Sophia,Male,Grade 5,English,66.01,70.5,47.97,72.9,60.2,63.52,3,77.95,Pass
STU0141,Shawn,Male,Grade 3,Phys.Ed,72.68,67.68,47.0,92.55,77.6,71.5,4,71.22,Pass
STU0142,Noah,Female,Grade 5,Phys.Ed,24.11,66.9,53.31,49.09,71.12,52.91,2,84.43,Pass
STU0143,Sophia,Male,Grade 4,English,72.89,59.57,30.18,76.08,81.3,64.01,3,67.88,Pass
STU0144,Shawn,Female,Grade 5,Science,39.56,78.35,37.85,57.88,50.68,52.86,2,79.52,Pass
STU0145,Jack,Female,Grade 4,Arts,51.01,56.18,68.83,48.67,70.53,59.04,3,89.84,Pass
STU0146,Tyler,Male,Grade 4,Science,68.27,64.57,49.79,56.33,84.91,64.78,3,80.93,Pass
STU0147,Mack,Male,Grade 2,Science,68.24,81.07,57.8,55.78,76.06,67.79,3,73.54,Pass
STU0148,Michal,Female,Grade 2,Phys.Ed,78.37,73.46,78.21,64.85,70.91,73.16,4,83.07,Pass
STU0149,Liam,Female,Grade 2,Arts,66.88,63.67,74.56,52.47,62.71,64.06,3,94.49,Pass
STU0150,Hudson,Male,Grade 4,Phys.Ed,77.16,64.17,49.12,60.09,80.49,66.21,3,88.6,Pass
STU0151,Liam,Male,Grade 4,English,65.54,65.74,49.0,75.33,82.9,67.7,3,66.37,Pass
STU0152,Hudson,Female,Grade 3,Phys.Ed,64.61,69.44,44.5,50.43,78.4,61.48,3,83.58,Pass
STU0153,Michal,Female,Grade 3,English,83.83,91.19,73.42,68.12,49.34,73.18,4,86.87,Pass
STU0154,Hudson,Female,Grade 2,Arts,74.9,36.19,39.94,56.57,68.04,55.13,3,82.67,Pass
STU0155,Lucas,Female,Grade 1,Science,74.91,57.84,56.99,64.39,59.02,62.63,3,96.86,Pass
STU0156,Hudson,Female,Grade 5,Phys.Ed,59.8,60.9,45.09,71.91,90.68,65.67,3,86.4,Pass
STU0157,Mia,Female,Grade 5,Math's,55.64,52.84,86.61,55.05,73.56,64.74,3,95.48,Pass
STU0158,Mack,Female,Grade 4,Science,59.92,48.86,56.24,50.79,53.71,53.91,2,88.71,Pass
STU0159,Ava,Male,Grade 4,English,79.95,57.46,57.59,61.18,50.44,61.32,3,89.19,Fail
STU0160,Mason,Male,Grade 5,Math's,87.9,60.41,64.04,72.19,40.31,64.97,3,69.91,Pass
STU0161,Damon,Female,Grade 2,Phys.Ed,53.72,100.0,49.84,63.21,87.67,70.89,4,100.0,Pass
STU0162,Shawn,Female,Grade 5,Phys.Ed,61.89,84.37,80.09,53.21,78.17,71.55,4,89.46,Pass
STU0163,Noah,Male,Grade 1,Arts,49.35,64.11,68.64,44.61,66.04,58.55,3,88.61,Pass
STU0164,Michal,Female,Grade 5,Math's,74.75,78.26,66.41,61.58,71.19,70.44,4,77.16,Pass
STU0165,Sophia,Female,Grade 4,Science,55.83,73.4,47.56,34.32,19.57,46.14,2,77.6,Fail
STU0166,Michal,Female,Grade 4,English,63.5,68.04,51.64,56.85,74.66,62.94,3,82.6,Pass
STU0167,Olivia,Female,Grade 2,Phys.Ed,47.69,52.65,40.75,37.76,55.32,46.83,2,89.71,Pass
STU0168,Michal,Female,Grade 1,English,25.64,78.38,73.26,57.62,64.07,59.79,3,88.13,Fail
STU0169,Damon,Female,Grade 3,Arts,68.13,65.93,68.03,52.56,54.08,61.75,3,75.49,Pass
STU0170,Olivia,Male,Grade 2,Arts,55.6,58.41,71.39,55.61,79.28,64.06,3,100.0,Pass
STU0171,Shawn,Female,Grade 5,Arts,65.59,86.01,35.92,67.62,59.21,62.87,3,93.2,Pass
STU0172,Noah,Male,Grade 5,English,60.15,81.67,44.83,73.04,58.16,63.57,3,85.79,Pass
STU0173,Tyler,Female,Grade 5,Arts,52.31,54.81,51.31,49.56,64.96,54.59,2,97.0,Pass
STU0174,Mia,Female,Grade 2,Math's,63.29,74.94,66.61,80.06,48.8,66.74,3,84.92,Pass
STU0175,Olivia,Male,Grade 3,Math's,66.48,55.47,52.33,74.78,64.81,62.78,3,72.49,Pass
STU0176,Cal,Female,Grade 2,Arts,73.48,63.31,38.06,62.41,78.72,63.2,3,89.25,Pass
STU0177,Tyler,Male,Grade 5,English,62.41,48.04,52.32,62.08,84.7,61.91,3,77.64,Pass
STU0178,Zen,Female,Grade 5,Math's,64.87,69.38,69.38,61.07,67.24,66.39,3,83.64,Pass
STU0179,Sophia,Female,Grade 2,English,44.16,62.43,60.59,57.8,91.69,63.33,3,85.79,Fail
STU0180,Zen,Male,Grade 2,Science,69.26,62.7,65.15,55.85,41.75,58.94,3,92.67,Pass
STU0181,Tyler,Female,Grade 2,English,55.14,61.77,64.39,55.49,76.71,62.7,3,82.65,Pass
STU0182,Ethan,Female,Grade 4,Arts,60.45,83.15,60.68,62.63,68.96,67.18,3,77.68,Pass
STU0183,Hudson,Female,Grade 1,Arts,75.02,60.71,49.29,46.45,86.33,63.56,3,79.87,Fail
STU0184,Liam,Male,Grade 5,Phys.Ed,43.82,77.68,64.91,68.8,47.54,60.55,3,85.2,Pass
STU0185,Robert,Female,Grade 5,Math's,81.61,60.72,53.2,60.8,56.51,62.57,3,83.46,Not Attended
STU0186,Noah,Male,Grade 2,Math's,70.11,78.39,78.06,85.68,72.11,76.87,4,100.0,Pass
STU0187,Mason,Female,Grade 2,Science,48.34,67.29,26.07,57.44,37.3,47.29,2,90.23,Pass
STU0188,Cal,Female,Grade 1,Phys.Ed,68.42,78.59,76.24,63.57,74.75,72.32,4,78.81,Pass
STU0189,Tyler,Male,Grade 5,English,89.91,78.03,45.45,52.41,90.55,71.27,4,83.33,Pass
STU0190,Cal,Female,Grade 5,English,64.84,80.01,11.34,69.13,52.53,55.57,3,69.35,Pass
STU0191,Cal,Male,Grade 5,Science,83.48,62.2,85.23,74.31,57.2,72.48,4,79.98,Pass
STU0192,Tyler,Female,Grade 2,English,67.3,65.72,48.78,42.41,64.7,57.78,3,80.24,Fail
STU0193,Lucas,Female,Grade 3,Arts,58.7,37.05,68.14,46.12,48.69,51.74,2,78.64,Pass
STU0194,Robert,Male,Grade 1,Math's,54.73,76.86,17.08,43.71,55.12,49.5,2,73.26,Pass
STU0195,Cal,Male,Grade 5,Arts,48.71,69.76,61.86,35.05,62.7,55.62,3,92.61,Pass
STU0196,Lucas,Male,Grade 1,Science,41.33,39.99,74.96,58.82,75.35,58.09,3,96.25,Pass
STU0197,Sophia,Female,Grade 5,English,72.32,71.88,53.21,67.91,80.22,69.11,3,88.74,Pass
STU0198,Zen,Male,Grade 4,Phys.Ed,58.92,78.01,80.42,51.25,91.51,72.02,4,75.48,Pass
STU0199,Lucas,Male,Grade 4,English,57.48,61.56,83.97,70.14,83.51,71.33,4,84.93,Not Attended
STU0200,Shawn,Male,Grade 5,Phys.Ed,60.07,39.65,50.12,62.11,65.56,55.5,3,75.78,Pass
STU0201,Robert,Female,Grade 3,Math's,89.6,55.56,43.01,47.86,58.75,58.96,3,95.47,Pass
STU0202,Tyler,Male,Grade 5,Arts,34.71,56.3,26.96,75.05,88.37,56.28,3,90.24,Pass
STU0203,Mack,Female,Grade 2,Science,55.94,67.81,64.1,35.61,83.38,61.37,3,80.01,Pass
STU0204,Liam,Female,Grade 5,English,66.08,82.21,43.11,62.7,45.16,59.85,3,84.78,Pass
STU0205,Ava,Female,Grade 5,Math's,58.12,88.38,70.1,57.45,74.15,69.64,3,81.33,Pass
STU0206,Cal,Male,Grade 1,Math's,60.39,72.27,31.72,47.48,43.9,51.15,2,85.14,Pass
STU0207,Shawn,Male,Grade 5,Math's,55.5,80.28,69.77,71.19,63.49,68.04,3,73.42,Pass
STU0208,Olivia,Male,Grade 4,Math's,66.4,49.44,50.61,67.78,74.37,61.72,3,90.84,Pass
STU0209,Lucas,Male,Grade 5,Phys.Ed,68.83,76.65,89.96,79.74,53.49,73.73,4,67.22,Pass
STU0210,Emma,Male,Grade 1,Arts,56.58,93.55,60.34,68.84,66.48,69.16,3,81.23,Pass
STU0211,Michal,Female,Grade 4,Math's,29.96,100.0,79.01,63.68,62.12,66.95,3,86.28,Pass
STU0212,Mia,Female,Grade 5,Math's,59.04,63.88,56.49,74.61,72.5,65.3,3,60.48,Pass
STU0213,Noah,Female,Grade 3,Science,95.6,72.44,79.52,66.88,82.43,79.37,4,77.06,Pass
STU0214,Mia,Male,Grade 5,English,53.97,77.99,69.27,69.59,69.74,68.11,3,79.25,Pass
STU0215,Cal,Male,Grade 5,Math's,50.49,68.97,45.24,60.71,36.76,52.43,2,70.94,Pass
STU0216,Tyler,Female,Grade 1,Phys.Ed,87.88,75.41,67.03,70.52,60.82,72.33,4,71.06,Pass
STU0217,Sophia,Female,Grade 2,Phys.Ed,57.81,80.39,45.8,55.35,81.4,64.15,3,86.24,Pass
STU0218,Sophia,Male,Grade 2,Math's,49.18,70.69,60.14,73.04,98.0,70.21,4,73.68,Pass
STU0219,Mason,Female,Grade 5,English,74.65,73.83,64.26,77.44,44.51,66.94,3,84.52,Pass
STU0220,Ethan,Female,Grade 3,English,67.03,52.74,48.73,61.18,78.28,61.59,3,75.74,Pass
STU0221,Ethan,Female,Grade 1,Science,64.77,51.26,63.74,73.72,32.93,57.28,3,74.49,Fail
STU0222,Lucas,Male,Grade 1,English,73.07,67.55,68.31,71.84,56.37,67.43,3,79.13,Pass
STU0223,Zen,Male,Grade 2,Math's,63.33,68.76,48.88,57.21,72.85,62.21,3,93.63,Pass
STU0224,Zen,Female,Grade 5,Phys.Ed,60.9,81.56,65.19,50.99,58.42,63.41,3,86.62,Pass
STU0225,Michal,Male,Grade 5,Arts,56.44,95.45,55.09,65.38,78.54,70.18,4,96.82,Pass
STU0226,Hudson,Male,Grade 1,Math's,78.13,46.84,87.86,51.86,66.08,66.15,3,82.81,Pass
STU0227,Tyler,Male,Grade 1,English,48.11,67.42,40.52,70.46,65.82,58.47,3,84.66,Pass
STU0228,Tyler,Male,Grade 2,Phys.Ed,60.84,66.21,69.69,60.5,95.29,70.5,4,85.73,Pass
STU0229,Noah,Male,Grade 2,Phys.Ed,58.43,68.69,77.66,52.09,28.42,57.06,3,86.04,Pass
STU0230,Noah,Female,Grade 2,Phys.Ed,77.42,67.84,69.36,84.32,68.94,73.57,4,93.23,Pass
STU0231,Sophia,Female,Grade 2,Math's,66.68,68.1,48.84,89.89,65.76,67.85,3,80.46,Pass
STU0232,Hudson,Male,Grade 2,Phys.Ed,70.06,66.72,56.3,53.2,52.41,59.74,3,79.22,Pass
STU0233,Damon,Male,Grade 4,Math's,62.32,71.29,80.21,67.21,60.58,68.32,3,87.33,Pass
STU0234,Mia,Male,Grade 5,English,68.74,68.78,31.72,60.81,61.39,58.29,3,79.65,Pass
STU0235,Shawn,Male,Grade 3,English,54.05,69.14,75.15,53.59,98.0,69.99,3,68.84,Pass
STU0236,Tyler,Female,Grade 5,Phys.Ed,66.52,75.63,17.24,68.18,50.81,55.68,3,86.48,Pass
STU0237,Noah,Female,Grade 5,English,39.35,67.7,74.82,60.03,54.91,59.36,3,79.42,Pass
STU0238,Robert,Female,Grade 5,Science,62.4,74.01,58.47,46.08,47.62,57.72,3,90.65,Pass
STU0239,Mack,Male,Grade 2,English,61.9,87.87,71.13,58.51,73.06,70.5,4,73.84,Pass
STU0240,Hudson,Female,Grade 4,Math's,49.33,54.55,75.91,58.39,62.88,60.21,3,88.92,Pass
STU0241,Mack,Male,Grade 4,Phys.Ed,65.71,68.11,61.81,68.05,82.07,69.15,3,79.26,Pass
STU0242,Mason,Male,Grade 3,Phys.Ed,49.94,76.45,40.46,69.5,89.94,65.26,3,79.78,Pass
STU0243,Tyler,Female,Grade 5,Math's,58.73,50.45,85.56,54.58,40.3,57.93,3,85.71,Pass
