student_id,student_name,gender,school_type,grade_name,branch,parent_education,commute_time,prior_gpa,attendance_pct,quiz_avg,assignment_avg,midterm_score,study_hours_per_week,on_time_submission_pct,lms_logins_per_week,forum_posts,engagement_score,arts_score,english_score,math_score,phys_ed_score,science_score,average_marks,final_score,gpa,grade_band,exam_status,at_risk
STU0011,Cal,Female,Private,Grade 2,English,High School,50.72,6.02,68.73,65.42,100.0,40.67,13.69,37.59,2,0,6.18,72.49,74.4,51.34,35.87,56.28,62.06,79.69,3,B,Fail,1
STU0012,Michal,Female,Government,Grade 5,Arts,High School,90.22,9.4,78.62,71.36,66.67,83.79,8.13,83.98,6,1,5.6,55.72,64.44,32.21,74.4,44.51,61.64,100.0,3,A,Pass,0
STU0013,Meera,Female,Government,Grade 5,English,Graduate,60.26,7.85,76.92,76.26,75.33,39.76,3.76,83.94,7,2,4.45,62.18,79.03,50.58,72.39,59.17,64.34,91.15,3,A,Pass,1
STU0014,Cal,Male,Government,Grade 5,Phys.Ed,High School,61.68,9.37,89.04,24.16,55.96,84.51,1.21,84.5,3,3,2.28,71.21,85.01,52.2,63.45,71.95,63.56,92.79,3,A,Pass,1
STU0015,Zen,Female,Semi-Government,Grade 3,Phys.Ed,High School,23.01,6.93,69.0,25.13,83.25,54.39,13.44,100.0,3,3,7.18,70.32,76.26,40.12,70.14,54.21,59.23,62.87,3,C,Pass,1
STU0016,Jack,Female,Private,Grade 5,Science,Graduate,68.98,6.84,72.2,61.95,50.09,58.54,7.99,100.0,4,3,5.35,40.21,76.98,57.16,44.74,79.52,58.65,64.83,3,C,Pass,0
STU0017,Cal,Female,Semi-Government,Grade 4,Arts,Graduate,70.93,9.09,48.12,47.07,56.74,95.06,0.0,69.41,5,4,2.75,67.14,92.76,65.75,63.32,88.54,72.05,89.52,4,A,Not Attended,1
STU0018,Lucas,Male,Government,Grade 2,Science,High School,96.18,4.45,80.57,81.21,91.74,39.79,4.78,71.82,7,0,4.36,71.68,85.16,42.63,69.23,79.93,70.17,58.32,4,C,Pass,1
STU0019,Kabir,Male,Semi-Government,Grade 4,Phys.Ed,High School,32.97,6.83,41.86,79.37,75.62,84.67,5.42,69.07,3,3,3.97,48.38,73.85,46.46,81.08,63.7,69.14,93.77,3,A,Not Attended,1
STU0020,Sara,Female,Government,Grade 3,English,Graduate,50.35,6.34,55.44,48.93,42.44,100.0,6.14,49.21,3,2,4.01,53.79,48.81,100.0,57.27,52.98,63.03,57.42,3,C,Not Attended,1
STU0021,Ava,Male,Government,Grade 5,Math's,Graduate,43.81,5.04,73.27,90.48,19.78,40.17,2.38,61.51,3,5,3.25,97.61,80.2,52.07,79.98,56.79,64.64,57.68,3,C,Pass,1
STU0022,Diya,Female,Private,Grade 5,Science,High School,56.29,5.57,51.86,83.78,63.26,61.83,9.63,65.79,7,2,6.8,89.7,69.72,56.16,62.66,75.23,70.29,78.14,4,B,Pass,1
STU0023,Tyler,Male,Government,Grade 4,English,Graduate,19.18,5.6,84.16,82.13,77.89,42.09,15.74,23.51,6,0,8.4,69.32,88.12,57.84,62.36,53.49,66.66,85.78,3,A,Pass,1
STU0024,Isha,Male,Semi-Government,Grade 4,Phys.Ed,Graduate,100.21,7.73,44.68,49.98,98.33,70.16,7.18,82.99,5,1,4.87,33.99,55.29,76.49,74.08,90.29,68.58,84.51,3,B,Fail,1
STU0025,Sara,Female,Private,Grade 5,Arts,Graduate,20.53,6.61,64.36,69.58,70.01,80.83,3.96,59.52,4,3,3.73,46.12,58.82,63.07,71.03,48.75,63.53,64.28,3,C,Fail,0
STU0026,Olivia,Female,Private,Grade 4,Phys.Ed,Graduate,35.27,5.19,75.27,47.95,87.43,44.2,4.02,76.05,3,2,3.16,69.13,84.46,56.22,49.63,38.11,59.64,48.26,3,D,Fail,1
STU0027,Emma,Male,Private,Grade 2,Phys.Ed,High School,40.89,7.71,69.48,81.61,30.79,35.62,8.07,46.82,4,2,5.13,100.0,50.5,84.99,29.09,29.75,55.29,64.64,3,C,Pass,1
STU0028,Michal,Male,Government,Grade 5,English,High School,45.75,7.75,50.78,52.76,62.75,68.68,2.91,63.86,3,0,2.21,54.13,72.85,38.0,69.56,59.15,59.74,73.69,3,B,Not Attended,1
STU0029,Vivaan,Female,Semi-Government,Grade 5,Science,High School,68.96,3.96,57.59,64.62,51.11,73.15,7.87,98.82,5,3,5.65,56.5,72.61,63.0,49.29,62.68,61.62,72.49,3,B,Pass,1
STU0030,Ethan,Male,Private,Grade 5,Arts,Graduate,62.94,5.57,65.31,34.23,65.81,22.15,8.21,100.0,2,1,4.23,65.84,79.76,89.98,73.17,33.55,58.06,52.83,3,D,Pass,1
STU0031,Shawn,Female,Semi-Government,Grade 1,Math's,High School,110.81,5.58,49.49,41.54,39.67,36.53,10.21,43.21,4,2,5.98,100.0,64.66,80.69,52.56,62.44,59.76,70.89,3,B,Fail,1
STU0032,Damon,Male,Government,Grade 5,Phys.Ed,Graduate,62.23,6.04,61.46,73.27,82.18,38.89,6.18,96.83,6,1,4.82,43.24,100.0,46.81,56.66,49.89,61.37,82.33,3,B,Pass,1
STU0033,Kabir,Male,Private,Grade 1,Math's,Graduate,33.03,7.91,63.74,61.92,55.68,48.44,4.76,71.33,2,2,3.1,77.48,45.2,64.81,71.68,64.32,61.19,86.13,3,A,Fail,0
STU0034,Tyler,Male,Semi-Government,Grade 5,Science,High School,0.0,6.46,63.12,27.89,74.22,40.27,5.2,72.89,1,2,2.93,72.01,88.6,68.28,58.0,47.74,59.63,66.58,3,C,Fail,1
STU0035,Zen,Male,Government,Grade 5,Math's,Graduate,42.4,6.35,72.87,82.76,58.03,71.6,3.99,56.02,7,1,4.3,64.54,65.96,58.43,72.34,85.05,69.84,86.15,3,A,Pass,0
STU0036,Michal,Female,Semi-Government,Grade 3,Math's,Graduate,21.23,7.32,89.34,42.99,65.89,19.53,0.97,87.22,2,1,1.34,61.75,82.64,100.0,54.63,55.17,60.32,78.58,3,B,Pass,1
STU0037,Kabir,Male,Government,Grade 5,Phys.Ed,Post Graduate,48.67,7.73,80.12,81.33,85.05,88.41,8.59,61.99,5,0,5.19,74.27,45.15,60.44,62.08,75.05,71.47,85.87,4,A,Pass,0
STU0038,Tyler,Female,Government,Grade 4,English,Graduate,49.37,8.31,48.94,63.51,71.35,53.9,4.38,57.29,3,4,3.8,85.48,65.08,50.01,83.57,39.83,64.09,62.86,3,C,Pass,1
STU0039,Aarav,Male,Private,Grade 1,Phys.Ed,High School,27.7,4.58,85.96,73.0,62.21,98.63,1.72,29.39,4,0,2.09,43.23,86.21,58.52,74.41,68.48,70.59,78.88,4,B,Pass,1
STU0040,Ava,Female,Private,Grade 1,Science,Graduate,20.12,6.26,50.54,31.48,74.91,25.29,7.27,76.67,4,2,4.81,80.23,76.39,76.92,71.15,57.83,61.77,66.52,3,C,Fail,1
STU0041,Aditya,Female,Government,Grade 5,Arts,Graduate,18.43,5.19,72.6,54.62,62.45,54.06,3.07,70.69,4,2,3.13,89.18,71.01,67.08,69.18,53.73,65.16,77.86,3,B,Pass,0
STU0042,Mack,Male,Semi-Government,Grade 5,English,Graduate,99.09,5.63,71.61,55.56,42.14,72.31,12.27,58.84,6,1,7.26,42.33,82.78,51.19,98.13,60.19,63.08,66.91,3,C,Pass,0
STU0043,Riya,Male,Government,Grade 2,Science,Graduate,89.52,7.9,85.97,22.71,47.77,23.64,14.01,63.47,6,3,8.45,69.41,69.65,50.09,52.94,62.59,49.85,81.21,2,B,Pass,1
STU0044,Aditya,Male,Private,Grade 3,English,Graduate,31.18,6.9,60.58,42.52,34.73,95.77,12.15,32.25,4,1,6.51,94.85,48.36,36.66,42.85,36.81,54.07,87.32,2,A,Pass,1
STU0045,Liam,Male,Private,Grade 5,Phys.Ed,High School,85.4,5.73,72.71,35.25,75.33,62.2,2.42,44.85,2,3,2.42,30.18,70.1,40.82,62.1,64.02,55.0,67.17,3,C,Pass,1
STU0046,Isha,Male,Private,Grade 2,English,High School,38.51,6.35,71.57,73.37,54.7,66.21,8.03,70.76,7,4,6.66,58.07,58.89,65.44,51.58,77.42,63.21,80.83,3,B,Fail,0
STU0047,Aarav,Male,Semi-Government,Grade 2,Arts,High School,101.15,8.16,48.61,83.43,100.0,77.25,0.0,91.53,1,1,0.6,81.04,75.77,100.0,61.4,36.91,76.97,90.45,4,A,Fail,1
STU0048,Emma,Female,Private,Grade 5,Math's,Graduate,20.39,6.12,78.27,56.22,73.96,57.26,2.2,45.11,5,1,2.88,59.99,63.77,42.55,67.61,92.55,64.24,75.65,3,B,Pass,1
STU0049,Damon,Male,Government,Grade 3,Arts,Post Graduate,56.94,7.22,35.57,64.95,100.0,87.16,7.69,40.57,5,5,6.08,44.87,62.5,69.05,56.67,100.0,73.15,72.57,4,B,Pass,1
STU0050,Zen,Male,Government,Grade 4,Arts,High School,0.0,8.69,45.04,66.29,63.96,67.12,2.91,31.55,4,2,3.06,45.49,56.04,49.44,58.63,50.86,57.23,82.47,3,B,Not Attended,1
STU0051,Kabir,Female,Private,Grade 4,Phys.Ed,Post Graduate,27.98,4.74,52.26,73.9,99.04,52.27,12.91,68.31,4,0,6.56,85.75,61.71,83.65,46.43,54.46,69.65,67.52,3,C,Pass,1
STU0052,Zen,Female,Semi-Government,Grade 5,Science,Graduate,34.8,6.15,65.66,68.5,70.04,61.42,15.86,59.02,3,2,7.89,68.74,58.57,90.41,83.72,63.42,70.6,63.21,4,C,Pass,0
STU0053,Robert,Female,Private,Grade 4,Math's,Graduate,44.77,5.5,87.87,56.5,50.4,69.8,2.41,66.68,6,1,3.31,24.11,66.9,53.31,49.09,71.12,55.15,72.8,3,B,Pass,1
STU0054,Sophia,Male,Private,Grade 1,Science,High School,7.99,6.57,68.31,33.75,35.87,28.71,7.11,64.1,4,0,4.24,51.36,77.96,69.87,49.93,87.34,54.35,73.52,2,B,Pass,1
STU0055,Zen,Male,Government,Grade 4,English,High School,0.0,4.45,68.4,36.6,31.56,69.91,9.04,52.16,1,1,4.22,39.82,68.57,59.72,67.95,64.91,54.88,54.09,2,D,Pass,1
STU0056,Mason,Female,Government,Grade 2,Phys.Ed,Graduate,26.73,7.6,52.19,68.86,85.71,51.24,10.1,72.99,3,4,6.09,47.77,35.73,66.6,57.92,79.17,61.62,85.37,3,A,Pass,1
STU0057,Olivia,Male,Private,Grade 1,Math's,High School,74.86,8.14,81.21,11.32,67.34,63.19,5.93,51.34,3,1,3.67,76.23,66.49,47.7,69.51,59.62,57.67,73.55,3,B,Fail,1
STU0058,Aarav,Female,Semi-Government,Grade 1,Math's,High School,24.02,6.59,76.3,90.57,73.14,69.84,10.29,57.24,4,3,6.27,65.16,63.7,35.87,71.96,67.87,67.26,91.73,3,A,Pass,0
STU0059,Cal,Male,Government,Grade 3,Phys.Ed,Graduate,27.94,6.28,66.17,43.43,80.37,96.06,7.2,73.74,3,2,4.43,71.9,86.09,62.93,50.72,60.14,68.96,92.36,3,A,Pass,1
STU0060,Diya,Female,Semi-Government,Grade 5,Phys.Ed,Graduate,56.12,6.19,58.39,48.39,74.59,94.74,7.58,37.3,3,1,4.33,50.23,75.08,57.82,66.03,48.8,64.46,74.91,3,B,Pass,1
STU0061,Vivaan,Male,Semi-Government,Grade 3,Phys.Ed,High School,38.6,5.48,82.75,67.88,48.25,48.84,1.28,89.53,3,1,1.81,99.69,61.26,54.49,61.79,80.44,65.33,57.88,3,C,Pass,1
STU0062,Vivaan,Male,Private,Grade 2,Phys.Ed,Post Graduate,10.86,2.34,84.81,51.36,48.05,39.45,5.46,77.52,7,2,5.13,90.27,87.61,51.2,47.56,65.25,60.09,42.62,3,D,Pass,1
STU0063,Isha,Male,Government,Grade 5,Science,High School,48.65,4.4,27.1,73.88,62.15,78.0,11.71,68.4,0,0,4.68,55.04,61.15,73.11,58.91,57.9,65.02,69.98,3,C,Pass,1
STU0064,Damon,Female,Government,Grade 2,English,High School,67.1,7.87,59.15,89.85,59.12,57.53,3.01,7.82,2,4,2.9,38.56,58.59,74.3,45.95,67.7,61.45,66.3,3,C,Fail,1
STU0065,Anaya,Male,Private,Grade 1,English,High School,10.08,5.59,98.07,65.28,53.37,66.24,6.14,54.19,6,1,4.81,58.99,64.02,57.78,74.43,49.52,61.2,85.89,3,A,Pass,0
STU0066,Robert,Female,Government,Grade 5,Arts,Post Graduate,38.69,5.53,59.21,50.35,46.84,60.7,12.5,73.75,6,0,7.1,75.25,64.91,56.75,99.32,67.78,65.24,66.13,3,C,Not Attended,1
STU0067,Ethan,Male,Private,Grade 2,English,Post Graduate,71.58,6.11,60.33,43.78,80.82,81.09,0.48,0.0,5,2,2.44,82.34,54.88,50.09,72.33,49.25,64.32,78.24,3,B,Not Attended,1
STU0068,Sophia,Male,Government,Grade 2,Phys.Ed,Graduate,36.17,6.22,87.77,83.75,100.0,70.75,7.3,70.67,5,3,5.42,81.45,65.68,42.01,54.94,76.45,71.88,96.66,4,A,Pass,0
STU0069,Isha,Male,Government,Grade 3,English,High School,52.43,4.79,100.0,91.65,73.24,67.45,7.53,54.26,1,1,3.61,75.02,60.71,49.29,46.45,86.33,68.77,76.02,3,B,Fail,0
STU0070,Liam,Male,Semi-Government,Grade 5,Math's,High School,72.51,6.91,82.41,40.67,66.7,20.49,0.0,69.38,3,0,1.05,66.98,68.67,72.77,55.77,71.21,57.91,61.65,3,C,Pass,1
STU0071,Cal,Female,Government,Grade 5,Math's,Post Graduate,39.53,7.35,100.0,44.47,100.0,49.63,4.87,63.12,2,1,2.9,73.18,53.6,48.2,62.79,43.83,59.46,73.19,3,B,Not Attended,1
STU0072,Aarav,Female,Government,Grade 1,Math's,Graduate,42.89,7.78,61.05,97.21,79.47,40.22,3.14,100.0,1,1,1.86,54.23,69.37,58.64,71.51,56.78,65.93,78.32,3,B,Pass,1
STU0073,Riya,Female,Semi-Government,Grade 5,Math's,High School,58.79,6.61,46.37,55.08,48.82,100.0,5.3,68.96,3,1,3.42,52.82,65.48,52.27,52.69,40.5,58.46,76.85,3,B,Fail,1
STU0074,Sophia,Female,Government,Grade 1,Arts,Graduate,61.78,6.04,59.97,66.38,88.13,16.75,6.46,62.16,2,3,4.03,56.01,56.86,35.2,38.7,76.3,54.29,67.6,2,C,Not Attended,1
STU0075,Olivia,Male,Government,Grade 5,English,Graduate,51.69,7.53,78.71,52.46,74.36,81.68,8.37,49.91,6,4,6.45,57.48,61.56,83.97,70.14,83.51,70.65,88.94,4,A,Not Attended,0
STU0076,Shawn,Male,Private,Grade 3,Science,Graduate,28.81,7.7,68.87,48.6,75.13,87.39,5.44,61.95,3,2,3.73,48.07,35.81,86.93,66.49,61.75,63.77,83.68,3,B,Pass,0
STU0077,Shawn,Female,Government,Grade 1,Arts,Graduate,27.16,5.05,65.12,60.99,61.1,26.92,10.85,62.39,4,3,6.49,54.89,65.8,69.83,61.08,56.02,57.08,66.19,3,C,Pass,1
STU0078,Kabir,Female,Government,Grade 1,Science,High School,56.19,7.34,67.27,73.94,57.99,83.81,7.48,63.42,3,4,5.04,46.05,53.77,37.29,50.62,63.98,58.43,90.29,3,A,Pass,0
STU0079,Aditya,Male,Government,Grade 4,Math's,High School,37.82,7.45,61.53,41.96,83.09,81.44,3.46,100.0,4,2,3.28,53.82,65.31,65.88,80.55,65.58,67.2,82.33,3,B,Pass,1
STU0080,Diya,Female,Semi-Government,Grade 4,Phys.Ed,Post Graduate,79.36,8.19,71.18,24.54,86.71,38.07,3.38,51.7,8,2,4.65,59.08,81.87,70.68,25.72,73.49,57.52,76.18,3,B,Pass,1
STU0081,Riya,Male,Government,Grade 4,Science,Post Graduate,62.89,8.22,63.5,42.11,51.69,46.22,9.43,78.36,7,1,6.47,37.4,43.14,56.56,54.42,64.71,49.53,77.12,2,B,Fail,1
STU0082,Shawn,Male,Semi-Government,Grade 2,Arts,Graduate,25.91,8.68,72.05,56.42,65.49,54.45,3.16,42.05,6,3,4.11,82.41,47.68,5.65,63.21,91.81,58.39,92.42,3,A,Pass,0
STU0083,Ethan,Female,Private,Grade 2,Phys.Ed,High School,48.81,7.09,63.86,59.49,32.16,42.72,4.36,53.42,2,1,2.69,76.33,51.54,44.55,74.51,58.63,54.99,59.96,2,C,Pass,1
STU0084,Kabir,Female,Government,Grade 5,Science,Graduate,67.59,3.68,52.97,63.7,72.29,74.24,6.44,77.08,3,1,3.88,67.97,68.21,56.66,40.11,62.94,63.26,60.11,3,C,Fail,1
STU0085,Cal,Male,Private,Grade 3,Phys.Ed,High School,77.67,6.83,50.78,92.43,52.81,78.54,4.7,86.1,3,1,3.18,64.07,61.24,100.0,49.09,79.03,72.15,86.05,4,A,Not Attended,1
STU0086,Isha,Female,Government,Grade 2,English,Graduate,43.96,6.17,29.78,75.58,20.62,56.3,6.06,78.91,7,0,4.87,72.09,74.29,53.63,54.12,64.63,58.91,79.25,3,B,Pass,1
STU0087,Meera,Female,Government,Grade 4,Phys.Ed,High School,3.92,6.76,75.9,55.54,90.82,22.78,2.69,63.52,5,3,3.58,43.1,57.37,53.25,57.19,83.51,57.94,79.49,3,B,Pass,1
STU0088,Emma,Male,Semi-Government,Grade 3,Phys.Ed,Graduate,35.42,8.18,80.28,56.97,71.5,64.62,12.98,69.98,4,1,6.84,51.52,83.53,71.78,63.22,67.51,66.33,100.0,3,A,Pass,0
STU0089,Meera,Male,Government,Grade 2,Math's,High School,24.53,5.24,78.45,60.2,67.33,93.56,1.61,72.86,5,2,2.89,70.03,76.63,84.5,49.06,71.42,71.59,78.21,4,B,Not Attended,1
STU0090,Hudson,Male,Semi-Government,Grade 2,Arts,Graduate,0.0,8.73,68.47,66.12,82.98,68.2,8.19,87.47,3,2,4.83,53.64,45.6,100.0,43.44,99.11,69.89,93.38,3,A,Pass,0
STU0091,Meera,Male,Government,Grade 2,Arts,High School,21.15,5.47,84.65,20.6,80.07,31.35,8.92,66.34,1,0,3.92,65.21,63.35,32.28,84.8,71.79,56.18,86.71,3,A,Pass,1
STU0092,Lucas,Male,Government,Grade 5,Science,Post Graduate,19.34,8.62,65.51,52.78,1.51,67.0,0.7,52.78,2,0,0.98,62.17,75.93,82.78,56.57,55.34,56.76,77.3,3,B,Pass,1
STU0093,Vivaan,Female,Private,Grade 5,Science,High School,26.27,5.64,45.33,73.8,17.95,41.91,1.91,41.28,0,3,1.51,71.99,72.48,28.94,52.87,82.11,55.26,48.43,3,D,Not Attended,1
STU0094,Ava,Male,Government,Grade 5,Science,Post Graduate,10.12,4.74,74.27,34.2,31.61,60.93,0.0,84.61,4,3,2.15,61.27,72.28,53.61,56.46,56.32,53.34,67.65,2,C,Pass,1
STU0095,Cal,Male,Government,Grade 5,Science,High School,35.32,7.16,84.46,69.16,94.14,57.88,8.67,39.8,3,1,4.77,39.23,61.0,76.03,67.9,71.01,67.04,86.98,3,A,Pass,0
STU0096,Jack,Male,Private,Grade 2,Math's,Post Graduate,45.07,6.78,75.68,81.08,90.88,79.28,3.76,47.23,6,1,3.85,43.6,59.91,72.17,59.35,79.15,70.68,86.74,4,A,Pass,0
STU0097,Vivaan,Male,Government,Grade 2,Science,High School,78.39,6.75,71.35,74.02,79.39,63.8,4.56,77.36,4,2,3.72,67.82,66.54,35.92,63.87,41.45,61.6,85.39,3,A,Pass,0
STU0098,Mack,Male,Private,Grade 5,English,Graduate,24.68,7.92,51.42,61.75,71.13,56.17,6.74,70.74,3,3,4.5,38.38,78.96,71.8,42.56,59.56,60.04,84.7,3,B,Fail,1
STU0099,Shawn,Female,Private,Grade 1,Phys.Ed,High School,97.64,6.6,83.56,75.16,90.26,39.71,8.79,65.4,3,4,5.57,91.48,73.56,42.76,68.8,79.95,70.21,85.59,4,A,Pass,1
STU0100,Mason,Male,Government,Grade 1,Math's,High School,50.17,9.06,67.19,92.3,81.95,66.97,7.81,32.39,4,3,5.27,50.21,46.67,65.47,69.66,59.31,66.57,100.0,3,A,Pass,0
STU0101,Emma,Male,Private,Grade 3,Phys.Ed,High School,12.15,7.07,64.33,60.05,15.37,68.24,11.37,75.52,2,1,5.5,73.06,63.78,60.76,48.95,76.7,58.36,83.61,3,B,Pass,0
STU0102,Lucas,Male,Semi-Government,Grade 5,Math's,High School,38.63,10.0,91.91,32.98,40.2,68.6,8.19,79.17,6,2,5.88,67.51,61.61,76.59,66.79,69.72,60.5,94.75,3,A,Pass,1
STU0103,Riya,Male,Government,Grade 2,Phys.Ed,Graduate,13.54,5.87,67.28,79.52,80.53,30.59,6.22,48.97,2,2,3.69,41.34,58.09,78.38,86.06,37.62,61.52,58.35,3,C,Pass,1
STU0104,Damon,Female,Private,Grade 4,Math's,High School,54.95,9.85,94.15,59.16,98.77,55.76,8.9,66.24,7,3,6.76,71.53,71.0,76.48,73.88,59.4,70.75,100.0,4,A,Fail,0
STU0105,Cal,Male,Government,Grade 4,Science,High School,68.52,7.0,67.24,58.2,82.42,53.94,3.21,59.38,4,2,3.18,45.83,56.36,37.42,43.35,60.01,54.69,71.96,2,B,Pass,0
STU0106,Mason,Male,Private,Grade 1,Math's,Graduate,0.0,6.97,76.89,88.92,39.0,60.29,3.68,100.0,4,2,3.37,43.53,84.3,40.21,56.78,73.23,60.78,71.59,3,B,Pass,0
STU0107,Diya,Female,Semi-Government,Grade 5,Phys.Ed,Graduate,9.86,9.21,68.51,43.05,52.26,34.03,2.86,57.11,3,4,3.19,75.9,50.62,61.77,60.37,40.25,52.28,85.2,2,A,Pass,1
STU0108,Aditya,Male,Private,Grade 4,English,High School,43.34,8.07,80.59,74.25,77.67,37.11,11.74,54.96,1,2,5.55,63.43,62.31,72.22,57.38,57.73,62.76,91.76,3,A,Fail,1
STU0109,Hudson,Male,Semi-Government,Grade 2,Science,Graduate,80.78,7.64,81.8,39.67,59.61,57.14,5.46,74.01,3,3,3.98,67.8,81.27,96.22,73.28,66.99,67.75,85.11,3,A,Pass,1
STU0110,Sara,Male,Private,Grade 5,Math's,High School,100.5,8.98,100.0,53.71,81.25,88.58,0.0,53.7,8,1,3.05,65.03,75.13,62.83,55.16,88.73,71.3,95.19,4,A,Pass,1
STU0111,Jack,Male,Government,Grade 4,Arts,High School,58.95,6.0,77.48,91.08,79.37,67.13,7.85,67.04,3,3,4.94,55.01,63.89,58.67,55.58,66.12,67.11,79.45,3,B,Fail,0
STU0112,Noah,Female,Private,Grade 5,Math's,High School,32.88,5.16,87.94,65.77,65.35,84.23,5.52,61.62,5,1,4.21,52.11,56.13,28.86,58.23,35.76,55.81,75.85,3,B,Pass,0
STU0113,Ava,Female,Government,Grade 1,Phys.Ed,High School,41.25,8.55,53.78,52.41,69.98,77.39,4.48,19.97,4,1,3.44,60.57,41.13,58.55,51.0,77.65,61.08,77.08,3,B,Pass,1
STU0114,Vivaan,Female,Private,Grade 4,Math's,Graduate,59.67,6.76,55.37,60.33,57.66,100.0,4.43,100.0,3,3,3.57,87.94,67.04,79.76,61.46,69.3,72.94,83.46,4,B,Not Attended,1
STU0115,Sophia,Female,Government,Grade 5,Science,High School,56.13,5.14,60.56,68.84,56.25,66.37,5.24,67.62,3,0,3.15,79.7,68.72,50.44,66.81,45.36,62.81,75.33,3,B,Pass,0
STU0116,Diya,Female,Government,Grade 1,English,High School,22.26,7.3,91.66,47.25,72.25,12.09,3.66,65.25,2,1,2.41,60.96,78.46,88.64,58.53,62.28,60.06,60.85,3,C,Pass,1
STU0117,Liam,Female,Semi-Government,Grade 3,English,Graduate,45.05,5.6,54.24,100.0,67.99,58.47,9.55,50.38,2,1,4.77,61.32,60.06,49.74,64.95,38.73,62.66,84.22,3,B,Pass,1
STU0118,Jack,Male,Semi-Government,Grade 5,Math's,High School,84.12,4.77,81.69,82.55,67.21,26.44,1.77,55.63,2,1,1.66,80.13,89.84,40.28,67.55,76.98,66.37,50.94,3,D,Pass,1
STU0119,Mason,Female,Government,Grade 2,Science,Post Graduate,33.34,7.81,95.56,47.92,59.87,21.93,4.43,89.92,4,0,3.17,66.86,49.93,61.53,25.11,60.01,49.15,62.49,2,C,Pass,1
STU0120,Diya,Female,Private,Grade 5,Science,Graduate,27.32,6.21,95.66,52.1,74.36,74.0,7.77,96.51,2,5,5.06,61.15,47.77,66.27,52.21,75.41,62.91,97.18,3,A,Pass,0
STU0121,Diya,Male,Government,Grade 2,Phys.Ed,High School,47.27,5.13,75.02,61.34,83.38,41.69,12.64,81.95,2,0,5.76,58.87,57.03,63.14,50.96,68.16,60.57,73.73,3,B,Pass,1
STU0122,Hudson,Female,Private,Grade 2,English,Post Graduate,34.5,7.52,84.65,28.65,70.81,88.1,4.57,52.21,1,1,2.43,62.45,68.76,67.49,51.42,67.37,63.13,84.55,3,B,Pass,1
STU0123,Tyler,Male,Private,Grade 1,English,High School,17.97,6.92,67.35,73.94,59.7,29.63,7.07,71.51,4,1,4.48,89.55,45.96,56.84,65.9,75.24,62.09,65.62,3,C,Pass,1
STU0124,Michal,Male,Semi-Government,Grade 2,Phys.Ed,Graduate,73.6,6.9,57.49,63.6,72.77,53.24,3.48,13.55,5,2,3.64,53.67,68.86,38.36,56.25,68.08,59.35,68.49,3,C,Pass,1
STU0125,Sophia,Female,Government,Grade 4,Math's,Post Graduate,30.0,5.18,54.16,14.88,52.06,32.71,2.06,59.48,2,3,2.27,65.81,60.79,8.82,61.25,67.89,45.53,38.73,2,F,Pass,1
